2015-04-02 10:52:52,752 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@134affc: startup date [Thu Apr 02 10:52:52 CEST 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-04-02 10:52:54,051 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | main
2015-04-02 10:52:54,079 | INFO  | PListStore:C:\Users\TJ\Desktop\apache-activemq-5.4.3\bin\..\data\localhost\tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2015-04-02 10:52:54,176 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\TJ\Desktop\apache-activemq-5.4.3\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2015-04-02 10:52:54,886 | INFO  | ActiveMQ 5.4.3 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2015-04-02 10:52:54,886 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2015-04-02 10:52:55,145 | INFO  | Listening for connections at: tcp://TJ-PC:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-04-02 10:52:55,145 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2015-04-02 10:52:55,147 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:TJ-PC-2830-1427964774941-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-04-02 10:52:55,200 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2015-04-02 10:52:55,387 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2015-04-02 10:52:55,484 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-04-02 10:52:55,750 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
